,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,tags
494,21667.0,4.0,4.0,4.0,London,SW1A,flat,located
495,21667.0,1.0,3.0,3.0,London,N2,flat,none
496,21667.0,1.0,3.0,3.0,London,W8,flat,none
497,21667.0,1.0,3.0,2.0,London,SW7,flat,spacious
498,21667.0,2.0,4.0,4.0,London,W8,property,refurbished
499,21645.0,1.0,4.0,3.0,London,WC2E,flat,garden
500,21645.0,2.0,4.0,3.0,London,WC2E,terraced house,garden
501,21580.0,1.0,4.0,4.0,London,W8,flat,garden
502,21537.0,1.0,2.0,2.0,London,SW7,flat,serviced
503,21537.0,1.0,2.0,3.0,London,W8,flat,serviced
504,21467.0,1.0,2.0,2.0,London,W1D,flat,furnished
505,21450.0,2.0,5.0,5.0,London,SW1E,flat,refurbished
506,21450.0,2.0,5.0,4.0,London,SW1E,flat,none
507,21450.0,1.0,1.0,1.0,London,SW1X,flat,none
508,21450.0,3.0,5.0,5.0,London,SW1E,flat,garage
509,21450.0,5.0,5.0,5.0,London,SW1E,flat,none
510,21450.0,2.0,4.0,3.0,London,SW3,flat,spacious
511,21450.0,1.0,3.0,3.0,London,SW1X,flat,none
512,21450.0,1.0,3.0,3.0,London,SW7,flat,garden
513,21249.0,1.0,2.0,2.0,London,SW7,flat,furnished
514,21233.0,2.0,3.0,3.0,London,W1K,flat,refurbished
515,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
516,21233.0,1.0,3.0,3.0,London,W1K,flat,none
517,21233.0,1.0,2.0,3.0,London,SW7,flat,short let
518,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
519,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
520,21233.0,1.0,4.0,3.0,London,W1K,flat,none
521,21233.0,1.0,3.0,2.0,London,W1J,flat,refurbished
522,21233.0,3.0,3.0,4.0,London,SW1A,flat,none
523,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
524,20150.0,1.0,3.0,2.0,London,W1J,flat,serviced
525,19998.0,2.0,6.0,4.0,London,NW3,property,family
526,20000.0,2.0,5.0,4.0,London,SW19,detached house,short let
527,20000.0,3.0,13.0,7.0,North,TA7,property,none
528,20000.0,5.0,7.0,7.0,Surrey KT16,KT16,detached house,modern
529,19933.0,4.0,6.0,6.0,London,NW3,property,located
530,19933.0,5.0,6.0,6.0,London,NW3,property,family
531,19933.0,4.0,6.0,4.0,London,NW3,detached house,family
532,19933.0,3.0,6.0,6.0,London,NW3,detached house,family
533,19912.0,3.0,6.0,4.0,London,NW8,detached house,garden
534,19890.0,2.0,6.0,3.0,London,NW8,detached house,none
535,19890.0,1.0,5.0,5.0,London,NW8,detached house,none
536,21103.0,1.0,2.0,2.0,London,W1K,flat,short let
537,21017.0,1.0,4.0,4.0,London,SW7,flat,long let
538,20800.0,1.0,3.0,3.0,London,W1K,flat,refurbished
539,20800.0,4.0,5.0,4.0,London,W8,detached house,family
540,20752.0,1.0,2.0,1.0,London,W2,flat,furnished
541,20593.0,1.0,4.0,4.0,London,W9,flat,furnished
542,20583.0,2.0,5.0,3.0,London,NW8,semi-detached house,family
543,20583.0,2.0,4.0,4.0,London,SW7,flat,none
544,20583.0,3.0,5.0,4.0,London,W11,terraced house,garden
545,20583.0,2.0,4.0,4.0,London,SW7,flat,refurbished
546,20578.0,1.0,2.0,2.0,London,W1F,duplex,furnished
547,20537.0,1.0,4.0,2.0,London,SW3,town house,furnished
548,20460.0,1.0,4.0,4.0,London,W1K,flat,serviced
549,20172.0,1.0,2.0,2.0,London,W1K,flat,short let
550,17333.0,1.0,3.0,3.0,London,SW1A,flat,none
551,17333.0,2.0,4.0,4.0,London,SW1W,property,garden
552,17333.0,3.0,4.0,4.0,London,SW1W,terraced house,located
553,17333.0,1.0,3.0,3.0,London,SW1A,flat,spacious
554,17333.0,1.0,3.0,3.0,London,SW1A,flat,refurbished
555,17333.0,3.0,4.0,4.0,London,SW6,flat,none
556,17333.0,2.0,4.0,4.0,London,W1J,detached house,modern
557,17333.0,1.0,3.0,3.0,London,SW1X,maisonette,located
558,17333.0,2.0,6.0,4.0,London,SW7,triplex,garden
559,17333.0,1.0,3.0,2.0,London,NW3,cottage,refurbished
560,17333.0,3.0,4.0,4.0,London,SW6,property,none
561,17334.0,2.0,3.0,3.0,London,W1K,flat,short let
562,17333.0,6.0,7.0,6.0,London,N2,terraced house,spacious
563,17333.0,2.0,4.0,4.0,London,SW7,property,refurbished
564,17333.0,1.0,3.0,2.0,London,SW3,flat,short let
565,17333.0,1.0,1.0,2.0,London,SW1X,flat,located
566,17334.0,2.0,4.0,4.0,London,SW6,flat,long let
567,17333.0,2.0,3.0,3.0,London,SW3,flat,refurbished
568,14300.0,2.0,6.0,4.0,London,SW7,property,garden
569,14300.0,1.0,3.0,3.0,London,SE1,flat,located
570,14300.0,1.0,3.0,3.0,London,SE1,flat,none
571,14270.0,1.0,4.0,4.0,London,W1K,flat,none
572,14257.0,1.0,3.0,3.0,London,W1H,flat,serviced
573,14170.0,1.0,2.0,2.0,London,SW1W,flat,none
574,14083.0,2.0,3.0,3.0,London,SW7,property,decorated
575,14084.0,2.0,4.0,5.0,London,SW1X,flat,garden
576,14083.0,1.0,2.0,3.0,London,SW1X,flat,none
577,14083.0,2.0,3.0,3.0,London,SW7,terraced house,refurbished
578,14083.0,1.0,4.0,4.0,London,NW1,flat,modernised
579,14083.0,1.0,4.0,3.0,London,SW3,flat,refurbished
580,14083.0,2.0,4.0,3.0,London,SW1W,terraced house,spacious
581,14083.0,2.0,5.0,6.0,London,NW11,detached house,family
582,14083.0,2.0,4.0,4.0,London,SW3,property,none
583,14083.0,1.0,4.0,3.0,London,SW7,flat,located
584,14083.0,2.0,3.0,3.0,London,SW7,mews house,refurbished
585,11917.0,2.0,5.0,3.0,London,SW1P,end terrace house,refurbished
586,11917.0,2.0,3.0,3.0,London,W1U,flat,none
587,11917.0,2.0,7.0,5.0,London,W2,property,family
588,11917.0,2.0,5.0,4.0,London,SW7,property,located
589,11916.0,2.0,2.0,2.0,London,SW1A,flat,located
590,11917.0,1.0,4.0,3.0,London,W11,flat,spacious
591,11917.0,1.0,3.0,3.0,London,SW7,flat,renovated
592,11917.0,1.0,3.0,2.0,London,W1J,flat,renovated
593,11917.0,2.0,5.0,3.0,London,W11,terraced house,garden
594,11917.0,1.0,2.0,2.0,London,W1K,duplex,none
595,11917.0,2.0,4.0,4.0,London,NW1,flat,none
596,11917.0,1.0,3.0,3.0,London,W1W,flat,spacious
597,11917.0,2.0,5.0,3.0,London,NW8,semi-detached house,located
598,11917.0,1.0,3.0,3.0,London,W1W,flat,refurbished
599,11917.0,1.0,2.0,2.0,London,W1J,property,refurbished
600,11917.0,2.0,5.0,3.0,London,NW8,property,garden
601,11917.0,1.0,3.0,3.0,London,SE1,flat,spacious
602,11917.0,2.0,3.0,5.0,London,NW1,flat,located
603,10400.0,1.0,3.0,3.0,London,WC2R,flat,none
604,10400.0,1.0,3.0,2.0,London,W1G,mews house,none
605,10400.0,2.0,4.0,3.0,London,NW3,property,none
606,10400.0,1.0,2.0,2.0,London,W9,property,short let
607,10400.0,1.0,3.0,3.0,London,SE1,flat,none
608,10400.0,1.0,3.0,3.0,London,SE1,flat,none
609,10400.0,1.0,2.0,2.0,London,SW7,flat,garden
610,10400.0,1.0,3.0,2.0,London,NW8,flat,modern
611,10400.0,1.0,2.0,3.0,London,W1F,flat,located
612,10400.0,1.0,3.0,3.0,London,W1J,flat,none
613,10400.0,1.0,1.0,1.0,London,W1K,flat,refurbished
614,10400.0,1.0,6.0,3.0,London,W14,property,none
615,10400.0,1.0,3.0,3.0,London,NW3,penthouse,none
616,8996.0,2.0,5.0,4.0,London,NW8,flat,located
617,8998.0,1.0,3.0,4.0,London,SE15,town house,furnished
618,8996.0,1.0,5.0,3.0,London,NW8,flat,none
619,8992.0,3.0,5.0,4.0,London,NW8,flat,none
620,8992.0,3.0,5.0,4.0,London,NW8,flat,family
621,8992.0,1.0,2.0,2.0,London,WC1H,flat,furnished
622,8992.0,2.0,6.0,4.0,London,NW8,flat,none
623,8986.0,1.0,2.0,2.0,London,E5,duplex,furnished
624,8918.0,1.0,1.0,2.0,London,SW3,flat,serviced
625,8901.0,1.0,3.0,2.0,London,SW10,town house,furnished
626,8883.0,1.0,2.0,2.0,London,W1K,flat,located
627,8883.0,1.0,3.0,3.0,London,W8,flat,none
628,8883.0,2.0,2.0,2.0,London,W1K,flat,none
629,8883.0,1.0,3.0,3.0,London,W8,flat,furnished
630,8883.0,1.0,3.0,4.0,London,W8,flat,garden
631,8883.0,2.0,4.0,5.0,London,SW7,mews house,none
632,8883.0,1.0,2.0,2.0,London,W1K,flat,refurbished
633,8450.0,3.0,3.0,4.0,London,W1H,property,refurbished
634,8450.0,3.0,5.0,3.0,London,NW8,town house,modern
635,8450.0,1.0,2.0,2.0,London,W1K,flat,located
636,8450.0,1.0,3.0,3.0,London,W1H,mews house,spacious
637,8450.0,1.0,4.0,4.0,London,NW3,flat,refurbished
638,8450.0,1.0,2.0,3.0,London,W1W,flat,none
639,8450.0,1.0,3.0,3.0,London,NW8,flat,none
640,8450.0,1.0,4.0,4.0,London,NW3,flat,refurbished
641,8450.0,1.0,4.0,4.0,London,NW8,flat,none
642,8450.0,1.0,3.0,3.0,London,SW1A,flat,located
643,8450.0,1.0,3.0,3.0,London,NW8,flat,located
644,8450.0,2.0,3.0,3.0,London,SW1X,flat,none
645,8450.0,2.0,4.0,3.0,London,SW7,mews house,located
646,8450.0,2.0,3.0,3.0,London,SW1X,terraced house,garage
647,8450.0,2.0,3.0,3.0,London,W2,maisonette,garden
648,8450.0,1.0,2.0,3.0,London,SW1Y,flat,none
649,8450.0,2.0,3.0,3.0,London,NW8,triplex,none
650,8450.0,2.0,4.0,2.0,London,NW3,property,spacious
651,7778.0,1.0,4.0,3.0,London,NW8,flat,furnished
652,7778.0,2.0,3.0,2.0,London,SW7,flat,spacious
653,7778.0,1.0,3.0,3.0,London,SW7,flat,located
654,7778.0,1.0,4.0,3.0,London,NW8,flat,refurbished
655,7752.0,2.0,5.0,2.0,London,SW15,terraced house,family
656,7750.0,2.0,4.0,2.0,Sandwich,CT13,detached house,none
657,7750.0,2.0,5.0,2.0,London,SW15,terraced house,garden
658,7739.0,1.0,1.0,1.0,London,W8,flat,furnished
659,7735.0,1.0,2.0,2.0,London,SW1X,flat,garden
660,7735.0,1.0,2.0,2.0,London,SW1X,flat,garden
661,7735.0,1.0,2.0,2.0,London,SW1X,flat,none
662,7735.0,1.0,1.0,1.0,London,W1G,flat,none
663,7696.0,1.0,2.0,2.0,London,EC1R,flat,furnished
664,7692.0,1.0,2.0,2.0,London,NW3,flat,none
665,7692.0,1.0,3.0,2.0,London,SW1E,flat,none
666,7687.0,1.0,1.0,1.0,London,SW7,duplex,furnished
667,7680.0,1.0,2.0,2.0,London,E14,flat,furnished
668,7657.0,1.0,2.0,3.0,London,SW6,triplex,furnished
669,7150.0,1.0,3.0,2.0,London,W2,flat,spacious
670,7150.0,4.0,5.0,4.0,London,NW8,terraced house,renovated
671,7150.0,1.0,3.0,2.0,London,SE1,flat,modern
672,7150.0,2.0,3.0,2.0,London,W2,flat,garden
673,7150.0,2.0,5.0,4.0,London,SW1P,flat,refurbished
674,7150.0,3.0,7.0,4.0,London,NW11,property,newly built
675,7150.0,2.0,5.0,3.0,London,NW11,semi-detached house,family
676,7150.0,1.0,2.0,2.0,London,W1G,flat,renovated
677,7150.0,1.0,3.0,2.0,London,NW3,semi-detached house,garden
678,7138.0,1.0,1.0,2.0,London,SW7,flat,furnished
679,7130.0,1.0,1.0,1.0,London,W10,flat,furnished
680,7125.0,1.0,2.0,1.0,London,SW1P,flat,furnished
681,7100.0,1.0,3.0,3.0,London,SE1,flat,spacious
682,7089.0,1.0,2.0,2.0,London,SW1V,town house,furnished
683,7063.0,1.0,5.0,2.0,London,NW8,flat,family
684,7063.0,1.0,5.0,2.0,London,NW8,flat,refurbished
685,6581.0,1.0,2.0,1.0,London,NW1,triplex,furnished
686,6567.0,1.0,1.0,1.0,London,SE1,flat,furnished
687,6555.0,1.0,3.0,2.0,London,N4,town house,furnished
688,6538.0,1.0,3.0,3.0,Bristol BS8,BS8,flat,furnished
689,6525.0,1.0,2.0,2.0,London,SW6,flat,furnished
690,6522.0,1.0,5.0,3.0,London,NW8,flat,located
691,6500.0,1.0,3.0,3.0,London,NW1,flat,modern
692,6500.0,1.0,3.0,2.0,London,W2,flat,spacious
693,6500.0,1.0,3.0,3.0,London,NW1,flat,modern
694,6500.0,1.0,3.0,3.0,London,NW1,flat,furnished
695,6500.0,1.0,3.0,3.0,London,NW1,flat,located
696,6500.0,1.0,1.0,1.0,London,W1B,flat,modern
697,6500.0,1.0,3.0,3.0,London,W8,flat,spacious
698,6500.0,1.0,3.0,2.0,London,W1J,flat,furnished
699,6500.0,1.0,3.0,3.0,London,NW1,flat,spacious
700,6392.0,1.0,3.0,2.0,London,W2,flat,none
701,6392.0,1.0,3.0,2.0,London,W2,flat,none
702,6392.0,1.0,3.0,2.0,London,W2,flat,none
703,6392.0,1.0,3.0,2.0,London,W2,flat,located
704,6392.0,1.0,3.0,1.0,London,W2,flat,none
705,6392.0,1.0,3.0,2.0,London,W2,flat,located
706,6392.0,1.0,3.0,2.0,London,W2,flat,none
707,6392.0,1.0,3.0,2.0,London,W2,flat,none
708,6392.0,1.0,3.0,2.0,London,W2,flat,located
709,6392.0,1.0,3.0,2.0,London,W2,flat,none
710,6392.0,1.0,3.0,2.0,London,W2,flat,located
711,6392.0,1.0,3.0,2.0,London,W2,flat,spacious
712,6392.0,1.0,3.0,2.0,London,W2,property,none
713,6045.0,1.0,3.0,2.0,London,W2,flat,none
714,6045.0,1.0,3.0,2.0,London,W2,flat,none
715,6045.0,1.0,3.0,2.0,London,W2,flat,furnished
716,6045.0,1.0,3.0,2.0,London,W2,flat,none
717,6045.0,1.0,3.0,2.0,London,W2,flat,none
718,6045.0,1.0,3.0,2.0,London,W2,flat,none
719,6045.0,1.0,3.0,2.0,London,W2,flat,spacious
720,6045.0,1.0,3.0,2.0,London,W2,flat,modern
721,6045.0,1.0,3.0,2.0,London,W2,flat,none
722,6045.0,1.0,3.0,3.0,London,SW1Y,flat,furnished
723,6045.0,1.0,3.0,2.0,London,W2,flat,modern
724,6045.0,1.0,2.0,2.0,London,SW1Y,flat,short let
725,6045.0,2.0,2.0,2.0,London,NW3,flat,garden
726,6045.0,2.0,3.0,2.0,London,W2,flat,none
